Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,0.0017699,-0.00049125,-0.091608,0,0,0,2.6588,0.079349,-6.8856E-06,0.00024924,0.047407,9.4071E-05,0.042063,0,0,0,0,0,0,package://hr_URDF_1023/meshes/body.STL,1,1,1,1,0,0,0,0,0,0,package://hr_URDF_1023/meshes/body.STL,,body-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
waist,-3.8903E-06,-1.205E-06,-0.10892,0,0,0,4.2005,0.013362,-5.5315E-08,-8.749E-09,0.011993,5.536E-08,0.011706,0,0,0,0,0,0,package://hr_URDF_1023/meshes/waist.STL,1,1,1,1,0,0,0,0,0,0,package://hr_URDF_1023/meshes/waist.STL,,waist-1,坐标系1,基准轴1,joint1,revolute,0,-2.1619E-05,-0.333,0,0,0,body,0,0,-1,0,0,-3.14,3.14,,,,,,,,
hip1l,-0.0023389,0.091791,-4.9742E-09,0,0,0,1.1048,0.0024131,-0.00014305,1.1542E-11,0.001598,6.0435E-11,0.0019103,0,0,0,0,0,0,package://hr_URDF_1023/meshes/hip1l.STL,1,1,1,1,0,0,0,0,0,0,package://hr_URDF_1023/meshes/hip1l.STL,,hip1l-1,坐标系2,基准轴2,joint2,revolute,0,0.08975,-0.152,0,0,0,waist,0,-1,0,0,0,-3.14,3.14,,,,,,,,
hip2l,0.015325,0.0016862,-0.13168,0,0,0,1.3845,0.0096171,-1.6582E-07,-0.00044644,0.0082904,0.00018678,0.0030488,0,0,0,0,0,0,package://hr_URDF_1023/meshes/hip2l.STL,1,1,1,1,0,0,0,0,0,0,package://hr_URDF_1023/meshes/hip2l.STL,,hip2l-1,坐标系3,基准轴3,joint3,revolute,-0.00725,0.099,0,0,0,0,hip1l,1,0,0,0,0,-3.14,3.14,,,,,,,,
hip3l,0.00023116,-0.021094,-0.19664,0,0,0,3.7995,0.053107,5.4809E-05,0.00012206,0.054306,-0.0044831,0.0078282,0,0,0,0,0,0,package://hr_URDF_1023/meshes/hip3l.STL,1,1,1,1,0,0,0,0,0,0,package://hr_URDF_1023/meshes/hip3l.STL,,hip3l-2-1,坐标系4,基准轴4,joint4,revolute,0,0,-0.17,0,0,0,hip2l,0,0,-1,0,0,-3.14,3.14,,,,,,,,
kneel,0.0053452,-0.00297,-0.14967,0,0,0,1.3857,0.0089661,-1.6344E-05,0.00014923,0.0090434,0.0006233,0.0012297,0,0,0,0,0,0,package://hr_URDF_1023/meshes/kneel.STL,1,1,1,1,0,0,0,0,0,0,package://hr_URDF_1023/meshes/kneel.STL,,kneel-1,坐标系5,基准轴5,joint5,revolute,0,0,-0.31,0,0,0,hip3l,0,1,0,0,0,-3.14,3.14,,,,,,,,
anklel,-5.9166E-09,-1.4565E-08,-2.4425E-15,0,0,0,0.091683,1.5591E-05,7.9407E-18,-4.0111E-11,5.0081E-06,2.5565E-11,1.7429E-05,0,0,0,0,0,0,package://hr_URDF_1023/meshes/anklel.STL,1,1,1,1,0,0,0,0,0,0,package://hr_URDF_1023/meshes/anklel.STL,,anklel-1,坐标系6,基准轴6,joint6,revolute,0,0,-0.38,0,0,0,kneel,0,1,0,0,0,-3.14,3.14,,,,,,,,
feetl,0.02066,-1.7433E-07,-0.053808,0,0,0,1.1444,0.0009116,8.4048E-09,0.00027066,0.0049323,-2.1671E-09,0.0053233,0,0,0,0,0,0,package://hr_URDF_1023/meshes/feetl.STL,1,1,1,1,0,0,0,0,0,0,package://hr_URDF_1023/meshes/feetl.STL,,feetl-1,坐标系7,基准轴7,joint7,revolute,0,0,0,0,0,0,anklel,-1,0,0,0,0,-3.14,3.14,,,,,,,,
hip1r,-0.0044197,-0.091815,4.9742E-09,0,0,0,1.1048,0.0024131,0.00014305,-1.1542E-11,0.001598,6.0435E-11,0.0019103,0,0,0,0,0,0,package://hr_URDF_1023/meshes/hip1r.STL,1,1,1,1,0,0,0,0,0,0,package://hr_URDF_1023/meshes/hip1r.STL,,hip1r-1,坐标系8,基准轴8,joint8,revolute,0.0020762,-0.089726,-0.152,0,0,0,waist,0,1,0,0,0,-3.14,3.14,,,,,,,,
hip2r,0.015305,-0.001663,-0.1317,0,0,0,1.3844,0.0096137,-2.4821E-07,-0.00044658,0.0082871,-0.00018913,0.0030484,0,0,0,0,0,0,package://hr_URDF_1023/meshes/hip2r.STL,1,1,1,1,0,0,0,0,0,0,package://hr_URDF_1023/meshes/hip2r.STL,,hip2r-1,坐标系9,基准轴9,joint9,revolute,-0.0093308,-0.099024,0,0,0,0,hip1r,1,0,0,0,0,-3.14,3.14,,,,,,,,
hip3r,0.00023118,0.021094,-0.19664,0,0,0,3.7995,0.053107,-5.4809E-05,0.00012206,0.054306,0.0044831,0.0078282,0,0,0,0,0,0,package://hr_URDF_1023/meshes/hip3r.STL,1,1,1,1,0,0,0,0,0,0,package://hr_URDF_1023/meshes/hip3r.STL,,hip3r-2-1,坐标系10,基准轴10,joint10,revolute,0,0,-0.17,0,0,0,hip2r,0,0,-1,0,0,-3.14,3.14,,,,,,,,
kneer,0.0053451,0.0012199,-0.14967,0,0,0,1.3857,0.0089662,1.6342E-05,0.00014921,0.0090435,-0.00062329,0.0012297,0,0,0,0,0,0,package://hr_URDF_1023/meshes/kneer.STL,1,1,1,1,0,0,0,0,0,0,package://hr_URDF_1023/meshes/kneer.STL,,kneer-1,坐标系11,基准轴11,joint11,revolute,0,0,-0.31,0,0,0,hip3r,0,-1,0,0,0,-3.14,3.14,,,,,,,,
ankler,-5.9166E-09,-1.4565E-08,-4.4409E-16,0,0,0,0.091683,1.5591E-05,7.958E-18,-4.0111E-11,5.0081E-06,2.5565E-11,1.7429E-05,0,0,0,0,0,0,package://hr_URDF_1023/meshes/ankler.STL,1,1,1,1,0,0,0,0,0,0,package://hr_URDF_1023/meshes/ankler.STL,,ankler-1,坐标系12,基准轴12,joint12,revolute,0,-0.00175,-0.38,0,0,0,kneer,0,1,0,0,0,-3.14,3.14,,,,,,,,
feetr,0.02066,-1.745E-07,-0.053808,0,0,0,1.1444,0.0009116,8.4237E-09,0.00027066,0.0049323,-2.1807E-09,0.0053233,0,0,0,0,0,0,package://hr_URDF_1023/meshes/feetr.STL,1,1,1,1,0,0,0,0,0,0,package://hr_URDF_1023/meshes/feetr.STL,,feetr-1,坐标系13,基准轴13,joint13,revolute,0,0,0,0,0,0,ankler,-1,0,0,0,0,-3.14,3.14,,,,,,,,
